Name	Pitch	Cost	Power	Defense	Types	Card Keywords	Ability and Effect Keywords	Class
Angelic Descent	1, 2, 3	0			Light, Instant			Illusionist
Angelic Wrath	1, 2, 3	0			Light, Instant			Illusionist
Annihilate the Armed	1, 2, 3	1	3, 4, 5	3	Action, Attack	Contract		Assassin
Annihilator Engine	1	6	6	3	Action, Attack	Overpower		Mechanologist
Anthem of Spring	3	0		2	Earth, Action	Briar Specialization, Unity, Go again		
Apocalypse Automaton	1	3	6	3	Action, Attack	Evo Upgrade		Mechanologist
Arc Light Sentinel	2	6			Light, Instant, Aura	Prism Specialization, Spectra		Illusionist
Arc Lightning	2	0		2	Lightning, Action	Aurora Specialization, Go again		Runeblade
Arcane Cussing	1, 2, 3	1		2	Action, Aura	Go again		Runeblade
Arcane Polarity	1, 2, 3	0			Instant			Generic
Arcane Seeds // Life	1	0		3	Action, Earth, Instant	Meld, Go again		Runeblade
Arcane Twining	1, 2, 3	0		3	Action		Amp 1	Wizard
Arcanic Crackle	1, 2, 3	0	1, 2, 3	3	Action, Attack			Runeblade
Arcanic Shockwave	1, 2, 3	0	2, 3, 4	3	Elemental, Action, Attack	Lightning Fusion		Runeblade
Arcanic Spike	1, 2, 3	2	3, 4, 5	3	Action, Attack			Runeblade
Arctic Incarceration	1, 2, 3	0		2	Ice, Action			
Argh… Smash!	2	3		3	Action	Go again		Brute
Arknight Ascendancy	1	6	5	3	Action, Attack	Viserai Specialization, Dominate		Runeblade
Arknight Shard	3				Resource, Gem	Legendary, Viserai Specialization		Runeblade
Art of Desire: Body	1	0	3	3	Action, Attack	Stealth		Assassin
Art of Desire: Mind	3	0	1	3	Action, Attack	Stealth		Assassin
Art of Desire: Soul	2	0	2	3	Action, Attack	Stealth		Assassin
Art of War	2	1			Instant			Generic
Aspect of Tiger: Body	1	0	3	3	Action, Attack	Combo, Go again		Ninja
Aspect of Tiger: Mind	3	0	1	3	Action, Attack	Combo, Go again		Ninja
Aspect of Tiger: Soul	2	0	2	3	Action, Attack	Combo, Go again		Ninja
Assault and Battery	1, 2, 3	3	5, 6, 7	3	Action, Attack	Beat Chest		Brute
Astral Etchings	1, 2, 3	1		3	Action			Illusionist
Attune with Cosmic Vibrations	3	0	2	2	Action, Attack			Mystic
Autosave Script	3	0			Action, Item	Crank		Mechanologist
Autumn's Touch	1, 2, 3	3	5, 6, 7	3	Earth, Action, Attack			
Awakening	3	2			Elemental, Instant	Earth Fusion		Guardian
Awakening Bellow	1, 2, 3	1		3	Action	Intimidate, Go again		Brute
Azvolai			2		Draconic, Dragon, Ally			Illusionist
Back Alley Breakline	1, 2, 3	1	3, 4, 5	2	Action, Attack			Generic
Back Heel Kick	1, 2, 3	0	1, 2, 3	3	Action, Attack	Combo		Ninja
Back Stab	1, 2, 3	0	1, 2, 3	3	Action, Attack	Stealth		Assassin
Backup Protocol: BLU	3	0			Action, Item	Crank		Mechanologist
Backup Protocol: RED	1	0			Action, Item	Crank		Mechanologist
Backup Protocol: YEL	2	0			Action, Item	Crank		Mechanologist
Bad Beats	1, 2, 3	0		3	Action	Go again		Brute
Ball Lightning	1, 2, 3	0	1, 2, 3	0	Lightning, Action, Attack	Go again		
Banneret of Courage	2	1	4	3	Light, Action, Attack	Solflare		Warrior
Banneret of Gallantry	2	1	4	3	Light, Action, Attack	Solflare		Warrior
Banneret of Protection	2	1	4	3	Light, Action, Attack	Solflare		Warrior
Banneret of Resilience	2	0	3	3	Light, Action, Attack	Solflare		Warrior
Banneret of Salvation	2	0	3	3	Light, Action, Attack	Solflare		Warrior
Banneret of Vigor	2	0	3	3	Light, Action, Attack	Solflare		Warrior
Barbed Undertow	1	1	5	3	Action, Arrow, Attack			Ranger
Bare Fangs	1, 2, 3	2	4, 5, 6		Action, Attack			Brute
Barraging Beatdown	1, 2, 3	0		3	Action	Intimidate, Go again		Brute
Barraging Big Horn	1, 2, 3	2	5, 6, 7	3	Action, Attack	Go again		Brute
Barraging Brawnhide	1, 2, 3	3	5, 6, 7	2	Action, Attack			Generic
Battered Not Broken	1	0			Instant			Brute, Guardian
Battering Bolt	1	2	6	3	Action, Arrow, Attack			Ranger
Battlefield Blitz	1, 2, 3	1	3, 4, 5	3	Light, Action, Attack	Go again		Warrior
Battlefield Breaker	1, 2, 3	3	5, 6, 7	3	Shadow, Action, Attack	Blood Debt		Brute
Battlefront Bastion	1, 2, 3	3	5, 6, 7	2	Action, Attack			Generic
Be Like Water	1, 2, 3	0	1, 2, 3	2	Action, Attack	Go again		Ninja
Beacon of Victory	2	0		3	Light, Attack Reaction			Warrior
Beaming Bravado	1, 2, 3	0	1, 2, 3	3	Light, Action, Attack	Charge		Warrior
Beast Mode	1, 2, 3	3	4, 5, 6	3	Action, Attack			Brute
Beast Within	2	3	6	3	Action, Attack			Brute
Beckoning Light	1	0	3	3	Light, Action, Attack	Charge		Warrior
Become the Arknight	3	0		3	Action	Viserai Specialization, Go again		Runeblade
Belittle	1, 2, 3	1	1, 2, 3	2	Action, Attack	Go again		Generic
Bequest the Vast Beyond	1	0		2	Action	Viserai Specialization, Go again		Runeblade
Berserk	2	1		3	Action	Go again		Brute
Beseech the Demigon	1, 2, 3	0		2	Shadow, Action	Go again		
Bet Big	1	4	8	3	Action, Attack	Betsy Specialization, Wager		Guardian
Big Bertha	1, 2, 3	3	4, 5, 6	3	Action, Attack	Boost		Mechanologist
Big Blue Sky	3	0		2	Defense Reaction			Mystic
Big Bop	1, 2, 3	3		2	Action, Aura			Guardian
Big Shot	1	3	6	3	Action, Attack			Mechanologist
Bigger Than Big	1, 2, 3	3		2	Action, Aura			Guardian
Billowing Mirage	1, 2, 3	1	1, 2, 3	3	Draconic, Action, Attack	Transform, Go again		Illusionist
Bingo	1	1	5	3	Action, Attack	Go again		Generic
Bios Update	1	0		3	Action	Go again		Mechanologist
Biting Blade	1, 2, 3	2		3	Attack Reaction	Reprise		Warrior
Biting Breeze	1, 2, 3	0	1, 2, 3	2	Action, Attack	Go again		Ninja
Biting Gale	1, 2, 3	2		2, 3, 4	Elemental, Defense Reaction	Ice Fusion		Guardian
Bittering Thorns	1, 2	1	3, 4	2	Action, Attack	Go again		Ninja
Blackout Kick	1, 2, 3	1	2, 3, 4	3	Action, Attack	Combo		Ninja
Blade Flash	3	1		2	Attack Reaction			Generic
Blade Flurry	1	0		3	Attack Reaction			Warrior
Blade Runner	1, 2, 3	1		3	Attack Reaction			Warrior
Blanch	1, 2, 3	3	5, 6, 7	2	Action, Attack			Generic
Blast to Oblivion	1, 2, 3	0	2, 3, 4	2	Lightning, Action, Attack			
Blaze Headlong	1	0	4	2	Draconic, Action, Attack	Go again		
Blazing Aether	1	0		3	Action	Kano Specialization		Wizard
Bleed Out	1, 2, 3	2	2, 3, 4	2	Action, Attack	Go again		Assassin, Ninja
Blessing of Aether	1, 2, 3	1		2	Action, Aura			Wizard
Blessing of Deliverance	1, 2, 3	2		3	Action, Aura	Go again		Guardian
Blessing of Focus	1, 2, 3	1		3	Action, Aura	Opt 1		Ranger
Blessing of Ingenuity	1, 2, 3	1		3	Action, Aura			Mechanologist
Blessing of Occult	1, 2, 3	1		2	Action, Aura			Runeblade
Blessing of Patience	1, 2, 3	1		3	Action, Aura			Guardian
Blessing of Qi	1, 2, 3	1		3	Action, Aura			Ninja
Blessing of Salvation	1, 2, 3	1		2	Light, Action			
Blessing of Savagery	1, 2, 3	1		3	Action, Aura			Brute
Blessing of Serenity	1, 2, 3	0			Instant			Guardian
Blessing of Spirits	1, 2, 3	1		2	Action, Aura	Ward 1		Illusionist
Blessing of Steel	1, 2, 3	1		3	Action, Aura			Warrior
Blinding Beam	1, 2, 3	1			Light, Instant			
Blink	3	0			Lightning, Instant			
Blistering Assault	1, 2, 3	2	3, 4, 5	2	Light, Action, Attack	Go again		
Blizzard	3	0			Ice, Instant			
Blizzard Bolt	1, 2, 3	1	3, 4, 5	3	Elemental, Action, Arrow, Attack	Ice Fusion		Ranger
Blood Dripping Frenzy	3	2		3	Shadow, Action	Go again		Brute
Blood Tribute	1, 2, 3	0			Shadow, Instant	Opt 3		
Blood of the Dracai	1				Draconic, Resource, Gem	Legendary		
Blood on Her Hands	2	0		3	Action	Kassai Specialization		Warrior
Bloodrot Trap	1	0		3	Defense Reaction, Trap			Assassin, Ranger
Bloodrush Bellow	2	1		3	Action	Go again		Brute
Bloodspill Invocation	1, 2, 3	1		2	Action, Aura	Go again		Runeblade
Blossoming Decay	1, 2, 3	2	3, 4, 5	2	Earth, Action, Attack	Decompose		
Blossoming Spellblade	1	2	6	3	Elemental, Action, Attack	Earth and Lightning Fusion		Runeblade
Boast	3			3	Block			Guardian
Bolt of Courage	1, 2, 3	0	1, 2, 3	3	Light, Action, Attack	Charge		Warrior
Bolt'n' Shot	1, 2, 3	0	2, 3, 4	3	Action, Arrow, Attack	Go again, Reload		Ranger
Bolting Blade	2	4	7	3	Light, Action, Attack			Warrior
Bonds of Agony	3	0	1	3	Action, Attack	Stealth		Assassin
Bonds of Ancestry	1, 2, 3	2	2, 3, 4	3	Action, Attack	Combo, Go again		Ninja
Bonds of Attraction	1, 2, 3	0	1, 2, 3	3	Action, Attack	Stealth		Assassin
Bonds of Memory	1, 2, 3	0	1, 2, 3	3	Action, Attack	Stealth		Assassin
Bone Head Barrier	2	1			Instant			Brute
Bonebreaker Bellow	1, 2, 3	1		3	Action	Beat Chest, Go again		Brute
Boneyard Marauder	1, 2, 3	1	4, 5, 6	3	Shadow, Action, Attack	Blood Debt		Brute
Boom Grenade	1, 2, 3	0			Action, Item	Crank		Mechanologist
Boulder Drop	2, 3	3	5, 6	3	Action, Attack	Crush		Guardian
Boulder Trap	2	0		3	Defense Reaction, Trap			Ranger
Bounding Demigon	1, 2, 3	0	1, 2, 3	3	Shadow, Action, Attack	Blood Debt		Runeblade
Bracken Rap	1, 2	3	5, 6	3	Elemental, Action, Attack	Earth Bond		Guardian
Brain Freeze	1, 2, 3	0		3	Elemental, Action	Ice Fusion		Wizard
Brainstorm	3	3			Instant			Wizard
Bramble Spark	1, 2, 3	0		2	Elemental, Action	Earth Fusion, Go again		Runeblade
Brand with Cinderclaw	1, 2, 3	0	1, 2, 3	2	Draconic, Action, Attack	Go again		Ninja
Brandish	1, 2, 3	1	1, 2, 3	2	Action, Attack	Go again		Generic
Break Ground	1, 2, 3	3	5, 6, 7	2	Earth, Action, Attack			
Break Tide	2	0	2	3	Action, Attack	Combo, Dominate		Ninja
Break of Dawn	1, 2, 3	0			Light, Instant			
Breaking Point	1	1	5	3	Draconic, Action, Attack	Rupture		
Breakneck Battery	1, 2, 3	2	4, 5, 6	3	Action, Attack	Go again		Brute
Breed Anger	1, 2, 3	1	2, 3, 4	3	Action, Attack	Combo, Go again		Ninja
Brothers in Arms	1, 2, 3	2	4, 5, 6	2	Action, Attack			Generic
Brush Off	1, 2, 3	0			Instant			Generic
Brutal Assault	1, 2, 3	2	4, 5, 6	3	Action, Attack			Generic
Buckle	3	3		3	Action	Go again		Guardian
Buckling Blow	1, 2, 3	4	6, 7, 8	3	Action, Attack	Crush		Guardian
Bull Bar	1, 2, 3	2	3, 4, 5	3	Action, Attack	Boost, Overpower		Mechanologist
Burdens of the Past	3	0		3	Action	Go again		Generic
Burgeoning	1, 2, 3	2	4, 5, 6	2	Earth, Action, Attack			
Burn Away	1	0	2	3	Draconic, Action, Attack	Go again		
Burn Rubber	1	3	5	3	Action, Attack			Mechanologist
Burn Them All	1	0		3	Draconic, Action, Aura	Go again		Illusionist
Burn Up // Shock	1	0		3	Action, Lightning, Instant	Go again, Meld		Runeblade
Buzz Bolt	1, 2, 3	1	3, 4, 5	3	Elemental, Action, Arrow, Attack	Lightning Fusion		Ranger
Buzzsaw Trap	3	0		3	Defense Reaction, Trap	Legendary, Riptide Specialization		Ranger
Cadaverous Contraband	1, 2, 3	2	4, 5, 6	2	Action, Attack			Generic
Cadaverous Tilling	1, 2, 3	3	4, 5, 6	2	Earth, Action, Attack	Decompose		
Call Down the Lightning	2	0		2	Lightning, Action	Lexi Specialization, Go again, Unity		
Call to the Grave	3	0		2	Action	Go again		Generic
Canopy Shelter	3			2	Earth, Block			
Captain's Call	1, 2, 3	0		2	Action	Go again		Generic
Cartilage Crush	1, 2, 3	3	5, 6, 7	3	Action, Attack	Crush		Guardian
Cash In	2	4		2	Action	Go again		Generic
Cash Out	3	0		2	Action	Go again		Generic
Cast Bones	1	0		3	Action			Brute
Celestial Cataclysm	2	0	7	3	Light, Action, Attack	Go again		
Celestial Reprimand	1, 2, 3	0			Light, Instant			Illusionist
Celestial Resolve	1, 2, 3	0			Light, Instant			Illusionist
Censor	1	1	5	3	Action, Attack			Generic
Cerebellum Processor	3	0			Action, Item	Crank		Mechanologist
Chain Lightning	2	1		3	Action			Wizard
Chains of Eminence	1	0		2	Action, Aura	Go again		Generic
Chains of Mephetis	3	0		3	Shadow, Action, Aura	Blood Debt		
Channel Lake Frigid	3	2		3	Ice, Action, Aura	Go again, Channel Ice		
Channel Lightning Valley	2	0			Lightning, Instant, Aura	Channel Lightning		
Channel Mount Heroic	1	3		3	Earth, Action, Aura	Go again, Channel Earth		
Channel Mount Isen	3	0		3	Ice, Action, Aura	Go again, Channel Ice		
Channel Thunder Steppe	2	1		3	Lightning, Action, Aura	Go again, Channel Lightning		
Channel the Bleak Expanse	3	1		2	Ice, Action, Aura	Go again, Channel Ice		
Channel the Millennium Tree	1	3		3	Earth, Action, Aura	Go again, Channel Earth, Amp 3		
Charge of the Light Brigade	1, 2, 3	0		3	Light, Action	Go again		Warrior
Chase the Tail	1	1	4	3	Action, Attack	Combo		Ninja
Chief Ruk'utan				3	Mentor	Intimidate		Brute
Chill to the Bone	1, 2, 3	0		2	Ice, Action	Go again		
Chilling Icevein	1, 2, 3	1	3, 4, 5	3	Elemental, Action, Arrow, Attack	Ice Fusion		Ranger
Chivalry	3			3	Block	Protect		Guardian
Chokeslam	1, 2, 3	4	6, 7, 8	3	Action, Attack	Crush		Guardian
Chorus of Ironsong	2	1		3	Attack Reaction	Unity, Dorinthea Specialization		Warrior
Chorus of the Amphitheater	1, 2, 3	2		2	Action			Wizard
Cindering Foresight	1, 2, 3	0		2	Action	Opt 3		Wizard
Cinderskin Devotion	1, 2, 3	1	2, 3, 4	3	Draconic, Action, Attack	Go again		Ninja
Clamp Press	3	2			Action, Item	Crank		Mechanologist
Clarity Potion	3	0			Action, Item		Opt 2	Generic
Clash of Agility	1, 2, 3	2	4, 5, 6	3	Action, Attack	Clash		Brute, Warrior
Clash of Might	1, 2, 3	2	4, 5, 6	3	Action, Attack	Clash		Brute, Guardian
Clash of Vigor	1, 2, 3	2	4, 5, 6	3	Action, Attack	Clash		Guardian, Warrior
Cleansing Light	1, 2, 3	3		2	Light, Action			
Clearing Bellow	3	0		3	Action	Intimidate, Go again		Brute
Cleave	1	1		3	Action	Go again		Warrior
Cloud Cover	2	0			Lightning, Instant			
Coalescence Mirage	1, 2, 3	2	5, 6, 7	3	Action, Attack	Phantasm		Illusionist
Coax a Commotion	1	0	4	2	Action, Attack			Generic
Codex of Bloodrot	2	0		2	Action	Go again		Assassin, Ranger
Codex of Frailty	2	0		2	Action	Go again		Assassin, Ranger
Codex of Inertia	2	0		2	Action	Go again		Assassin, Ranger
Coercive Tendency	3	0		3	Attack Reaction	Arakni Specialization		Assassin
Cognition Field	1, 2, 3			1, 2, 3	Block	Galvanize		Mechanologist
Cognition Nodes	3	1			Action, Item		Go again	Mechanologist
Cold Snap	1, 2, 3	1		2	Ice, Action	Go again		
Cold Wave	1, 2, 3	1	3, 4, 5	3	Elemental, Action, Arrow, Attack	Ice Fusion		Ranger
Collapsing Trap	3	0		3	Defense Reaction, Trap	Legendary, Riptide Specialization		Ranger
Colossal Bearing	1	4	8	3	Action, Attack	Tower		Guardian
Combustible Courier	1, 2, 3	2	2, 3, 4	3	Action, Attack	Boost		Mechanologist
Combustion Point	1	1		3	Draconic, Attack Reaction			Ninja
Come to Fight	1, 2, 3	1		3	Action	Go again		Generic
Comet Storm // Shock	1	2		3	Action, Lightning, Instant	Meld		Wizard
Command Respect	1, 2, 3	3	4, 5, 6	3	Action, Attack			Guardian
Command and Conquer	1	2	6	3	Action, Attack			Generic
Commanding Performance	1	1		3	Action	Go again		Warrior
Companion of the Claw	1, 2, 3	2	2, 3, 4	2	Action, Attack	Go again		Mystic, Ninja
Concealed Blade	3	0		3	Attack Reaction			Assassin, Ninja
Concuss	1, 2, 3	3	4, 5, 6	3	Action, Attack			Guardian
Condemn to Slaughter	1, 2, 3	1		3	Action	Go again		Runeblade
Construct Bank Breaker	2	0		3	Action, Construct	Transform, Go again		Mechanologist
Construct Nitro Mechanoid	2	4		3	Action, Construct	Transform, Negate, Go again		Mechanologist
Consuming Aftermath	1, 2, 3	3	4, 5, 6	2	Shadow, Action, Attack	Dominate		
Consuming Volition	1, 2, 3	1	2, 3, 4	3	Action, Attack			Runeblade
Contest the Mindfield	3	2		2	Action, Aura			Wizard
Convection Amplifier	1	0			Action, Item		Go again	Mechanologist
Convulsions from the Bellows of Hell	1, 2, 3	2		3	Shadow, Action	Go again		Brute
Cosmic Awakening	3	9	*	3	Action, Attack			Mystic
Count Your Blessings	1, 2, 3	2			Instant			Generic
Courageous Steelhand	1, 2, 3	0		2	Light, Attack Reaction			Warrior
Cracked Bauble	2				Resource			Generic
Cracker Bauble	2	0			Resource			Generic
Crackling	1, 2	0	2, 3	3	Elemental, Action, Attack	Lightning Flow		Runeblade
Crane Dance	1, 2, 3	0	1, 2, 3	3	Action, Attack	Combo		Ninja
Cranial Crush	3	6	8	3	Action, Attack	Crush		Guardian
Crankshaft	1, 2, 3	2	3, 4, 5	3	Action, Attack	Boost		Mechanologist
Crash Down	1, 2	3		3	Action, Aura			Guardian
Crazy Brew	3	0			Action, Item		Go again	Generic
Crippling Crush	1	7	11	3	Action, Attack	Bravo Specialization, Crush		Guardian
Critical Strike	1, 2, 3	1	3, 4, 5	3	Action, Attack			Generic
Cromai			3		Draconic, Dragon, Ally			Illusionist
Cross the Line	1, 2, 3	1	3, 4, 5	3	Light, Action, Attack	Charge		Warrior
Crouching Tiger		0	0		Action, Attack	Ephemeral, Go again		Ninja
Crowd Control	1, 2, 3			2, 3, 4	Bard, Block			
Crumble to Eternity	3	0		3	Ice, Earth, Action, Aura	Jarl Specialization		
Crush Confidence	1, 2, 3	3	5, 6, 7	3	Action, Attack	Crush		Guardian
Crush the Weak	1, 2, 3	3	5, 6, 7	3	Action, Attack	Crush		Guardian
Cryptic Crossing	2	3	6	3	Action, Attack			Runeblade
Current Funnel	3	0	2	3	Lightning, Action, Attack	Go again		
Cut Down to Size	1, 2, 3	2	4, 5, 6	2	Action, Attack			Generic
Cut Through the Facade	1	3	7	2	Action, Attack			Generic
Cut the Deck	1, 2, 3	1		3	Attack Reaction			Warrior
Cut to the Chase	1, 2, 3	0		3	Attack Reaction			Assassin
Cyclone Roundhouse	2	2	5	3	Action, Attack	Combo		Ninja
Dabble in Darkness	1	0	5	3	Shadow, Action, Attack	Blood Debt		
Dampen	1, 2, 3	2		3	Action			Wizard
Data Link	1, 2, 3	0	1, 2, 3	3	Action, Attack	Boost, Opt 1		Mechanologist
Dauntless	1, 2, 3	1		3	Action	Go again		Warrior
Dazzling Crescendo	1, 2, 3	0	2, 3, 4	3	Elemental, Action, Arrow, Attack	Lightning Fusion, Go again		Ranger
Dead Eye	2	1		3	Action	Go again		Ranger
Deadly Duo	1, 2, 3	1	1, 2, 3	2	Action, Attack	Go again		Ninja
Deadwood Dirge	1, 2, 3	0		2	Action	Go again		Runeblade
Deadwood Rumbler	1, 2, 3	3	6, 7, 8		Shadow, Action, Attack	Blood Debt		Brute
Death Touch	1, 2, 3	1	4, 5, 6	2	Action, Attack			Assassin, Ranger
Deathly Delight	1, 2, 3	2	3, 4, 5	3	Shadow, Action, Attack	Rune Gate, Blood Debt		Runeblade
Deathly Duet	1, 2, 3	2	2, 3, 4	3	Action, Attack			Runeblade
Deathly Wail	1, 2, 3	3	4, 5, 6	3	Shadow, Action, Attack	Rune Gate, Blood Debt		Runeblade
Deathmatch Arena		0			Action, Landmark	Legendary, Go again		Generic
Debilitate	1, 2, 3	4	6, 7, 8	3	Action, Attack	Crush		Guardian
Deep Blue Sea	3	4	5	2	Action, Attack			Mystic
Deep Rooted Evil	2	3	6		Shadow, Action, Attack	Blood Debt		Brute
Defender of Daybreak	1, 2, 3	0	2, 3, 4	2	Light, Action, Attack			
Demolition Crew	1, 2, 3	2	4, 5, 6	2	Action, Attack	Dominate		Generic
Demolition Protocol	1	3	7	3	Action, Attack	Evo Upgrade		Mechanologist
Dense Blue Mist	3	1			Instant			Mystic
Descendent Gustwave	1, 2, 3	1	1, 2, 3	2	Action, Attack	Combo, Go again		Ninja
Desires of Flesh	1, 2, 3	0	1, 2, 3	3	Action, Attack	Stealth		Assassin
Destructive Aethertide	3	0		3	Action	Surge		Wizard
Destructive Deliberation	1, 2, 3	2	3, 4, 5	2	Action, Attack			Generic
Diabolic Offering	3	1	*	*	Shadow, Action, Attack	Blood Debt		Brute
Diabolic Ultimatum	1	3		2	Action			Runeblade
Dig Up Dinner	3	1		3	Action	Go again		Brute
Dimenxxional Crossroads	2	2		3	Shadow, Action, Aura	Go again		Runeblade
Dimenxxional Gateway	1, 2, 3	1		2	Shadow, Action	Opt 3, Go again		Runeblade
Dimenxxional Vortex		3			Shadow, Action	Blood Debt		
Disable	1, 2, 3	5	7, 8, 9	3	Action, Attack	Crush		Guardian
Dishonor	3	0	2	3	Action, Attack	Combo		Ninja
Dissipation Shield	2	2			Action, Item			Mechanologist
Dissolution Sphere	2	2			Action, Item			Mechanologist
Dissolve Reality	2	0		3	Action	Go again		Illusionist
Dissolving Shield	1, 2, 3	0			Action, Item	Crank		Mechanologist
Dive Through Data	1, 2, 3	1	2, 3, 4	3	Action, Attack	Boost, Opt 1		Mechanologist
Dodge	3	0		2	Defense Reaction			Generic
Dominia			4		Draconic, Dragon, Ally			Illusionist
Doomsday	3	0			Shadow, Instant	Legendary, Levia Specialization		
Double Down	1	2		3	Action	Go again		Guardian, Warrior
Double Strike	1	0	1	2	Action, Attack	Go again		Ninja
Double Trouble	1, 2, 3	0	1, 2, 3	3	Action, Attack	Stealth		Assassin
Down But Not Out	1, 2, 3	3	3, 4, 5	3	Action, Attack	Overpower		Generic
Down and Dirty	1	2	6	2	Action, Attack			Generic
Dracona Optimai			6		Draconic, Dragon, Ally			Illusionist
Dragons of Legend					Invocation, Placeholder Card			
Draw Swords	1, 2, 3	3		3	Action	Go again		Warrior
Drawn to the Dark Dimension	1, 2, 3	2	1, 2, 3	3	Action, Attack			Runeblade
Dread Screamer	1, 2, 3	2	4, 5, 6	3	Shadow, Action, Attack	Go again, Blood Debt		Brute
Dread Triptych	3	3	4	3	Action, Attack			Runeblade
Drill Shot	1, 2, 3	0	2, 3, 4	3	Action, Arrow, Attack	Piercing 1		Ranger
Drink 'Em Under the Table	1	4	8	3	Action, Attack	Betsy Specialization, Wager		Guardian
Driving Blade	1, 2, 3	2		3	Action	Go again		Warrior
Drone of Brutality	1, 2, 3	2	4, 5, 6	2	Action, Attack			Generic
Droplet	3	0	2	2	Action, Attack			Mystic
Drowning Dire	1, 2, 3	2	3, 4, 5	3	Action, Attack	Dominate		Runeblade
Dumpster Dive	1, 2, 3	1	2, 3, 4	3	Action, Attack	Boost		Mechanologist
Dunebreaker Cenipai	1, 2, 3	1	3, 4, 5	3	Draconic, Action, Attack	Phantasm, Go again		Illusionist
Dusk Path Pilgrimage	1, 2, 3	1		3	Action	Go again		Warrior
Dust Runner Outlaw	1, 2, 3	1	2, 3, 4	2	Draconic, Action, Attack	Go again		Ninja
Dust from Stillwater Shrine	1	0		3	Draconic, Action, Ash	Material		Illusionist
Dust from the Chrome Caverns	1	0		3	Draconic, Action, Ash	Material		Illusionist
Dust from the Fertile Fields	1	0		3	Draconic, Action, Ash	Material		Illusionist
Dust from the Golden Plains	1	0		3	Draconic, Action, Ash	Material		Illusionist
Dust from the Red Desert	1	0		3	Draconic, Action, Ash	Material		Illusionist
Dust from the Shadow Crypts	1	0		3	Draconic, Action, Ash	Material		Illusionist
Dustup	1, 2, 3	0	2, 3, 4	3	Draconic, Action, Attack	Transform		Illusionist
Earth Form	1, 2, 3	3	5, 6, 7	2	Earth, Action, Attack			
Earth's Embrace	3	1		2	Earth, Action, Aura	Go again		
Earthlore Empowerment	1, 2	3		3	Action, Aura			Guardian
Earthlore Surge	1, 2, 3	2		2	Earth, Action	Go again		
Eclectic Magnetism	1	1	5	3	Lightning, Action, Attack			
Eclipse	3	0			Shadow, Instant	Legendary, Chane Specialization		
Eclipse Existence	3	0			Shadow, Instant			
Edge Ahead	1, 2, 3	1		3	Action	Go again		Warrior
Eirina's Prayer	1, 2, 3	1			Instant			Generic
Electrify	1, 2, 3	1		2	Lightning, Action	Go again		
Electromagnetic Somersault	1, 2, 3	0			Lightning, Instant			
Electrostatic Discharge	1, 2, 3	0			Lightning, Instant			
Eloquent Eulogy	1	1	4	3	Shadow, Action, Attack	Rune Gate, Blood Debt		Runeblade
Embermaw Cenipai	1, 2, 3	2	6, 7, 8	3	Draconic, Action, Attack	Phantasm		Illusionist
Embolden	1, 2, 3	4		3	Action, Aura	Go again		Guardian
Emboldened Blade	3	0		3	Action	Go again		Warrior
